frame_id,sample_arrival_ms,sample_send_ms,acked_bitrate_bps,offset,threshold,usage,target_bitrate_bps
228,21093815,21093815,25872000,-0.014443,6.000000,normal,26792637
229,21093848,21093848,25860800,-0.014216,6.000000,normal,26792637
230,21093882,21093882,26006400,0.004162,6.000000,normal,26792637
231,21093915,21093915,26084800,-0.011271,6.000000,normal,26792637
232,21093949,21093948,26152000,-0.011093,6.000000,normal,26792637
233,21093982,21093982,26006400,0.004983,6.000000,normal,26792637
234,21094015,21094015,26252800,-0.011237,6.000000,normal,26792637
235,21094049,21094048,26297600,-0.011997,6.000000,normal,27914530
236,21094082,21094082,26331200,0.004258,6.000000,normal,27914530
237,21094115,21094115,26398400,-0.009356,6.000000,normal,27914530
238,21094149,21094148,26476800,-0.009204,6.000000,normal,27914530
239,21094182,21094182,26544000,0.007275,6.000000,normal,27914530
240,21094215,21094215,26622400,-0.009216,6.000000,normal,27914530
241,21094249,21094248,26689600,-0.009065,6.000000,normal,27914530
242,21094282,21094282,26768000,0.007569,6.000000,normal,27914530
243,21094315,21094315,26835200,-0.009084,6.000000,normal,27914530
244,21094349,21094348,26913600,-0.008933,6.000000,normal,27914530
245,21094382,21094382,26992000,0.005803,6.000000,normal,27914530
246,21094415,21094415,27070400,-0.011738,6.000000,normal,27914530
247,21094449,21094448,27137600,-0.011541,6.000000,normal,27914530
248,21094482,21094482,27216000,0.005452,6.000000,normal,27914530
249,21094515,21094515,27283200,-0.011483,6.000000,normal,27914530
250,21094549,21094548,27316800,-0.011289,6.000000,normal,29011863
251,21094582,21094582,27361600,0.005862,6.000000,normal,29011863
252,21094615,21094615,27428800,-0.007806,6.000000,normal,29011863
253,21094649,21094648,27507200,-0.007948,6.000000,normal,29011863
254,21094682,21094682,27574400,0.011433,6.000000,normal,29011863
255,21094715,21094715,27652800,-0.006038,6.000000,normal,29011863
256,21094749,21094748,27731200,-0.006057,6.000000,normal,29011863
257,21094782,21094782,27798400,0.013174,6.000000,normal,29011863
258,21094815,21094815,27865600,-0.004475,6.000000,normal,29011863
259,21094849,21094848,27955200,-0.004367,6.000000,normal,29011863
260,21094882,21094882,28022400,0.014724,6.000000,normal,29011863
261,21094915,21094915,28089600,-0.003104,6.000000,normal,29011863
262,21094949,21094948,28168000,-0.002865,6.000000,normal,29011863
263,21094982,21094982,28246400,0.016098,6.000000,normal,29011863
264,21095015,21095015,28313600,-0.001909,6.000000,normal,29011863
265,21095049,21095048,28392000,-0.001535,6.000000,normal,29011863
266,21095082,21095082,28425600,0.017309,6.000000,normal,30226682
267,21095115,21095115,28470400,0.001140,6.000000,normal,30226682
268,21095149,21095148,28537600,0.002276,6.000000,normal,30226682
